STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,METHODOLOGY,Measurement method,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,AUS,Australia,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2019,,10.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,AUS,Australia,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2018,,10.3,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,LUX,Luxembourg,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2019,,11,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,LUX,Luxembourg,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2018,,11.1,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,KOR,Korea,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2022,,8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,KOR,Korea,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2021,,7.7,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,KOR,Korea,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2020,,7.9,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,KOR,Korea,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2019,,8.3,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,KOR,Korea,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2018,,8.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,FIN,Finland,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2022,,7.6,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,FIN,Finland,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2021,,8.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,FIN,Finland,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2020,,8.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,FIN,Finland,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2019,,8.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,FIN,Finland,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2018,,8.4,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,DEU,Germany,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2019,,10.6,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,DEU,Germany,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2018,,10.9,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,DNK,Denmark,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2022,,9.5,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,CAN,Canada,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2019,,8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,CAN,Canada,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2018,,8.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,CZE,Czechia,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2022,,11.6,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,CZE,Czechia,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2021,,11.6,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,CZE,Czechia,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2020,,11.6,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,CZE,Czechia,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2019,,11.9,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,CZE,Czechia,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2018,,11.8,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,NOR,Norway,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2022,,6.6,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,NOR,Norway,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2021,,7.4,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,NOR,Norway,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2020,,7.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,NOR,Norway,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2019,,6.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,NOR,Norway,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2018,,6,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,ISR,Israel,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2019,,3.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,ISR,Israel,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2018,,3,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,AUT,Austria,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2022,,11.6,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,AUT,Austria,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2021,,11.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,AUT,Austria,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2020,,11.3,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,AUT,Austria,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2019,,11.6,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,AUT,Austria,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2018,,11.3,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,CRI,Costa Rica,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2022,,3.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,CRI,Costa Rica,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2021,,3.6,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,CRI,Costa Rica,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2020,,3.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,CRI,Costa Rica,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2019,,3.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,CRI,Costa Rica,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2018,,3.3,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,IRL,Ireland,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2022,,10.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,IRL,Ireland,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2021,,9.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,IRL,Ireland,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2020,,10.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,IRL,Ireland,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2019,,10.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,IRL,Ireland,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2018,,11,,E,Estimated value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,NLD,Netherlands,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2022,,8.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,NLD,Netherlands,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2021,,8.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,NLD,Netherlands,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2020,,7.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,NLD,Netherlands,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2019,,8.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,NLD,Netherlands,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2018,,8.3,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,BEL,Belgium,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2019,,9.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,BEL,Belgium,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2018,,9.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,ISL,Iceland,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2020,,7.4,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,ISL,Iceland,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2019,,7.4,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,CHE,Switzerland,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2022,,8.4,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,CHE,Switzerland,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2021,,8.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,CHE,Switzerland,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2020,,8.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,CHE,Switzerland,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2019,,8.7,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,CHE,Switzerland,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2018,,8.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,NZL,New Zealand,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2022,,8.7,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,NZL,New Zealand,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2021,,8.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,NZL,New Zealand,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2020,,8.7,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,NZL,New Zealand,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2019,,8.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,NZL,New Zealand,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2018,,8.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,GBR,United Kingdom,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2022,,9.9,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,GBR,United Kingdom,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2021,,10,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,GBR,United Kingdom,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2020,,9.7,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,GBR,United Kingdom,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2019,,9.7,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,GBR,United Kingdom,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2018,,9.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,SWE,Sweden,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2022,,7.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,SWE,Sweden,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2021,,7.6,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,SWE,Sweden,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2020,,7.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,SWE,Sweden,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2019,,7.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,SWE,Sweden,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2018,,7.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,CAN,Canada,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2022,,8.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC(1.0),Alcohol consumption,I,CAN,Canada,A,Annual,AC,Alcohol consumption,Y_GE15,15 years or over,_T,Total,L_PS,Litres per person,_Z,Not applicable,2021,,8.3,,A,Normal value,0,Units,,
